SNU1,MELJUSO,1
SNU1,RVH421,1
K562,RKO,1
NCIH2030,SNUC5,1
NCIH2030,SNGM,1
NCIH1437,SW48,1
MOLM13,HCT15,1
HDMYZ,SNGM,1
NCIH2291,NCIH650,1
RKO,KMS11,1
RKO,SUDHL6,1
RKO,MDAMB231,1
RKO,COLO679,1
RKO,NCIH1944,1
RKO,NCIH838,1
RKO,MDAMB157,1
RKO,ABC1,1
RKO,HCC44,1
RKO,GB1,1
RKO,KU1919,1
MDAMB453,NCIH2110,1
SNUC5,MDAMB157,1
MDAMB468,SNGM,1
NALM6,KYSE150,1
NALM6,TE4,1
SNGM,KYM1,1
SNGM,UACC257,1
SNGM,LN229,1
SNGM,MDAMB157,1
SNGM,KU1919,1
NCIH1793,NCIH2009,1
NCIH1793,NCIH446,1
NCIH1793,CL34,1
NCIH2052,HCT15,1
SKMEL3,HCT15,1
NCIH2009,NCIH650,1
CAL33,CCK81,1
NCIH2172,NCIH446,1
NCIH2172,EBC1,1
NCIH2172,COLO679,1
NCIH661,NCIH1155,1
SH4,HCT15,1
NCIH446,NCIH1155,1
NCIH446,CL34,1
MDAMB231,NCIH650,1
MDAMB231,SW48,1
MDAMB231,NCIH2110,1
EBC1,CL34,1
CCK81,NCIH838,1
SUIT2,NCIH650,1
KYSE180,NCIH650,1
NCIH838,NCIH2110,1
NCIH1155,AU565,1
NCIH1155,NCIH1568,1
OV90,HCT15,1
TE1,SW48,1
KYSE150,CL34,1
NCIH650,AU565,1
AU565,SW48,1
SW48,L428,1
HCT15,OVCAR4,1
HCT15,8305C,1
A2780,NCIH1048,1
A2780,SNU1,1
EFM19,RKO,1
NCIH2170,SW48,1
NCIH1048,MFE296,1
NCIH1048,HCC15,1
EFM192A,HCT15,1
A2058,NCIH1155,1
NCIH358,AGS,1
NCIH358,NCIH446,1
SKMEL30,RKO,1
IALM,SNU1,1
IALM,RKO,1
IALM,SNGM,1
IALM,SW48,1
MFE296,AGS,1
MKN1,SNUC5,1
MKN1,SW48,1
NCIH23,SHP77,1
CORL23,CCK81,1
NCIN87,SNGM,1
NCIH747,SNUC5,1
NCIH747,NCIH650,1
NCIH747,HCT15,1
NCIH441,NCIH1793,1
SKMEL2,NCIH2172,1
LXF289,NCIH2172,1
FUOV1,HCT15,1
769P,HCT15,1
HCC1937,HCT15,1
IGR1,EBC1,1
IGR1,NCIH1155,1
HGC27,NCIH1793,1
AGS,NCIH1793,1
AGS,NCIH2110,1
NUGC3,IPC298,1
NUGC3,NCIH661,1
KYSE70,RKO,1
SNU1,NCIH2009,1
SNU1,NCIH196,1
SNU1,COLO678,1
SNU1,AU565,1
SNU1,SW948,1
SNU1,KU1919,1
SNU1,TE4,1
NCIH1435,NALM6,1
NCIH1435,HCC15,1
RCHACV,COLO679,1
RCHACV,MELJUSO,1
RCHACV,TE4,1
HDMYZ,NCIH1155,1
NCIH2291,SNGM,1
RKO,MDAMB468,1
RKO,SJSA1,1
RKO,COLO678,1
RKO,TCCSUP,1
RKO,RVH421,1
MDAMB453,NALM6,1
MDAMB453,NCIH1155,1
SNUC5,SUDHL6,1
SNUC5,NCIH196,1
SNUC5,KYM1,1
SNUC5,NCIH1944,1
SNUC5,NCIH838,1
SNUC5,SKMEL5,1
KMS11,CCK81,1
KMS11,SW48,1
NALM6,SHP77,1
C32,HCT15,1
CORL88,NCIH650,1
TE10,NCIH1155,1
NCIH2228,CCK81,1
SNGM,MKN7,1
SNGM,TE6,1
SNGM,MDAMB231,1
SNGM,TE1,1
SNGM,ABC1,1
SNGM,BT20,1
NCIH1793,HCC15,1
NCIH1793,MELJUSO,1
SUDHL6,SW48,1
HCC15,KYSE180,1
HCC15,NCIH838,1
HCC15,NCIH1568,1
HCC15,CL34,1
CAL33,NCIH1155,1
NCIH196,CCK81,1
NCIH196,NCIH650,1
NCIH196,CL34,1
SHP77,KYSE510,1
SHP77,NCIH1568,1
NCIH2172,NCIH661,1
NCIH661,CL34,1
SJSA1,NCIH1155,1
MSTO211H,HCT15,1
UACC257,SW48,1
CCK81,SUIT2,1
CCK81,SKMEL28,1
CCK81,HCC44,1
CCK81,SBC5,1
CCK81,SKMEL5,1
CCK81,KU1919,1
MELJUSO,CL34,1
KYSE180,NCIH2110,1
KYSE180,CL34,1
NCIH292,HCT15,1
NCIH838,NCIH1155,1
NCIH929,HCT15,1
NCIH1155,KYSE510,1
HCC1395,SW48,1
THP1,HCT15,1
KYSE510,NCIH1568,1
TE1,NCIH2110,1
MDAMB157,NCIH650,1
SW48,GB1,1
TE4,CL34,1
UACC62,SNUC5,1
UACC62,NCIH650,1
KMS12BM,SNGM,1
MOLM16,CCK81,1
A2780,NCIH1155,1
EFM19,SNGM,1
OPM2,CL34,1
OCUM1,SNUC5,1
OCUM1,CCK81,1
OCUM1,NCIH1155,1
MCF7,NCIH1155,1
LCLC103H,NCIH650,1
NCIH1048,SKMEL2,1
NCIH358,SKMEL2,1
NCIH358,IGR1,1
NCIH358,SNU1,1
NCIH358,NCIH1435,1
NCIH358,NCIH661,1
NCIH358,CL34,1
MFE296,HCC15,1
MFE296,IPC298,1
MFE296,CAL51,1
NCIH716,AGS,1
SNUC1,SNGM,1
MKN1,RKO,1
NCIH23,NCIH2009,1
NCIH23,IPC298,1
NCIH23,NCIH661,1
NCIH23,NCIH446,1
NCIH23,NCIH838,1
NCIH23,CAL51,1
NCIH441,NCIH2172,1
NCIH441,NCIH650,1
SKMEL2,SNU1,1
SKMEL2,NCIH1793,1
SKMEL2,NCIH661,1
LXF289,HCC15,1
HEL,HCT15,1
MDST8,NCIH2172,1
IGR1,NUGC3,1
IGR1,NCIH1435,1
IGR1,NCIH661,1
IGR1,MELJUSO,1
IGR1,KYSE180,1
IGR1,NCIH1568,1
KARPAS422,SW48,1
AGS,SHP77,1
AGS,NCIH2172,1
NUGC3,KYSE70,1
NUGC3,NCIH1435,1
NUGC3,HCC15,1
NUGC3,NCIH446,1
NUGC3,NCIH1568,1
NCIH1975,RKO,1
HCC1954,RKO,1
HCC1954,CCK81,1
HCC1954,NCIH650,1
SNU1,NCIH838,1
K562,SNUC5,1
OVCAR8,SNUC5,1
NCIH1435,EBC1,1
NCIH1435,MELJUSO,1
NCIH1435,CL34,1
RCHACV,NCIH1568,1
KMRC20,HCT15,1
NCIH2030,SW48,1
NCIH1437,RKO,1
NCIH1437,SNUC5,1
NCIH1437,SNGM,1
NCIH1437,NCIH1155,1
UMUC3,SNGM,1
HDMYZ,NCIH650,1
NCIH2291,RKO,1
NCIH2291,SW48,1
RKO,TE10,1
RKO,JHOS2,1
RKO,CAL33,1
RKO,RL,1
RKO,SH4,1
RKO,UACC257,1
RKO,TE6,1
RKO,SKMEL5,1
RKO,BT20,1
MDAMB453,CL34,1
SNUC5,TE10,1
SNUC5,NCIH146,1
SNUC5,NCIH2052,1
SNUC5,CAL33,1
SNUC5,UACC257,1
SNUC5,MDAMB231,1
SNUC5,COLO678,1
SNUC5,HCC44,1
SNUC5,GB1,1
NALM6,KYM1,1
NALM6,KYSE180,1
JM1,HCT15,1
TE10,NCIH650,1
TE10,SW48,1
CMK,SW48,1
SNGM,NCIH146,1
SNGM,CAL33,1
SNGM,KMRC1,1
SNGM,SUIT2,1
SNGM,SW1417,1
SNGM,SNU423,1
SNGM,SBC5,1
NCIH1793,IPC298,1
NCIH1793,SHP77,1
NCIH1793,NCIH661,1
NCIH1793,EBC1,1
SUDHL6,NCIH650,1
HCC15,NCIH2009,1
JHOS2,CCK81,1
SKMEL3,CCK81,1
CAL851,CCK81,1
IPC298,NCIH661,1
IPC298,NCIH1568,1
SHP77,NCIH650,1
RL,SW48,1
NCIH2172,MELJUSO,1
NCIH661,NCIH446,1
QGP1,CCK81,1
NCIH446,KYSE150,1
NCIH446,NCIH1568,1
EBC1,NCIH1155,1
EBC1,NCIH2110,1
EBC1,TE4,1
CAMA1,SW48,1
CCK81,TCCSUP,1
SUIT2,NCIH2110,1
COLO679,NCIH1155,1
MELJUSO,NCIH2110,1
HSC4,NCIH650,1
KYSE180,KYSE150,1
NCIH1155,HCC44,1
NCIH1155,BT20,1
COLO678,SW48,1
TE1,CL34,1
TE11,NCIH2110,1
KYSE150,NCIH2110,1
ABC1,SW48,1
J82,NCIH650,1
NCIH1568,TE4,1
SW48,KU1919,1
UACC62,SNGM,1
UACC62,NCIH2172,1
UACC62,SW48,1
KMS12BM,CCK81,1
NCIH2122,HCT15,1
A2780,NUGC3,1
A2780,NCIH2110,1
EFM19,NCIH23,1
EFM19,CCK81,1
OPM2,NCIH650,1
MCF7,SNUC5,1
MCF7,NCIH2110,1
LCLC103H,SNGM,1
LCLC103H,NCIH2110,1
LCLC103H,CL34,1
NCIH1048,NCIH358,1
NCIH1048,CORL23,1
NCIH1048,NCIH661,1
NCIH1048,NCIH446,1
NCIH1048,NCIH1568,1
NCIH1048,CAL51,1
NCIH358,NCIH441,1
NCIH358,HCC15,1
NCIH358,KYSE150,1
SKMEL30,SNGM,1
SKMEL30,IPC298,1
IALM,CCK81,1
MFE296,NCIH1793,1
MFE296,NCIH2110,1
NCIH716,NCIH23,1
NCIH716,SNU1,1
SNUC1,SNUC5,1
NCIH23,SKMEL2,1
NCIH23,IGR1,1
NCIH23,KYSE180,1
NCIH441,NCIH1435,1
NCIH441,IPC298,1
SKMEL2,NUGC3,1
SKMEL2,NCIH2009,1
SKMEL2,CAL51,1
LXF289,SW48,1
LXF289,NCIH2110,1
HDQP1,SNGM,1
HDQP1,SW48,1
MDST8,IPC298,1
MDST8,NCIH1155,1
IGR1,HCC15,1
KARPAS422,SNUC5,1
KARPAS422,CAL51,1
HGC27,RCHACV,1
HGC27,HCC15,1
AGS,RCHACV,1
AGS,SJSA1,1
AGS,KYSE510,1
AGS,CL34,1
NUGC3,NCIH1793,1
NUGC3,SJSA1,1
NUGC3,KYSE150,1
HCC1954,SW48,1
SNU1,NCIH1435,1
SNU1,CORL88,1
SNU1,TE1,1
NCIH1435,IPC298,1
NCIH1435,NCIH661,1
NCIH1435,KYSE180,1
KMRC20,SW48,1
NCIH2030,NCIH650,1
NCIH1437,CCK81,1
NCIH1437,NCIH650,1
MOLM13,CCK81,1
NCIH647,HCT15,1
NCIH2291,SNUC5,1
RKO,C32,1
RKO,KMRC1,1
RKO,SUIT2,1
RKO,SW1417,1
RKO,TE11,1
SNUC5,CMK,1
SNUC5,A101D,1
SNUC5,LN229,1
SNUC5,SKMEL28,1
SNUC5,TCCSUP,1
SNUC5,SUDHL4,1
SNUC5,SBC5,1
SNUC5,KU1919,1
SNUC5,RVH421,1
KMS11,NCIH1155,1
NALM6,NCIH446,1
NALM6,KYSE510,1
NALM6,SKMEL5,1
C32,CCK81,1
CORL88,KYSE150,1
CORL88,NCIH2110,1
CMK,CCK81,1
CMK,NCIH1155,1
SNGM,SUDHL6,1
SNGM,QGP1,1
SNGM,IGR37,1
SNGM,TE11,1
SNGM,TCCSUP,1
SNGM,SUDHL4,1
SNGM,NCIH460,1
NCIH1793,CAL51,1
NCIH2052,CCK81,1
HCC15,IPC298,1
HCC15,NCIH196,1
HCC15,KYSE150,1
HCC15,CAL51,1
HCC15,TE4,1
CAL851,HCT15,1
